source_variable_id,source_id,survey,cycle,original_name,population_asked,variable_type,variable_label,answer_values_and_codes,missing_n,missing_pct,distinct_n,min,max,example,country_specific_notes,codebook_name,codebook_label,codebook_variable_type,codebook_remarks,codebook_match_status,source_document,source_sheet,dictionary_source_row,codebook_source_row,review_status
SRC-PARIS-C1-Q_GLOBAL9R,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,q_global9r,ASK ALL,numeric,"In general, please rate how well you carry out your usual social activities and roles. (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)",Not answered = -97; Multiple answers = -96; Question not asked = -95; Excellent = 1; Very good = 2; Good = 3; Fair = 4; Poor = 5; NA = 6,955,1.1599999999999999,5,1,5,3,,q_global9r,"In general, please rate how well you carry out your usual social activities and roles. (This includes activities at home, at work and in your community, and responsibilities as a parent, child, spouse, employee, friend, etc.)",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,12,87,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL06,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GLOBAL06,ASK ALL,numeric,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Completely = 1; Mostly = 2; Moderately = 3; A little = 4; Not at all = 5; NA = 6,842,1.02,5,1,5,4,,Q_GLOBAL06,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,13,98,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-PROMISDYSCB001,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,PROMISDYSCB001,ASK ALL,numeric,"In the past 7 days, I have been short of breath",Not answered = -97; Multiple answers = -96; Question not asked = -95; Not at all = 1; A little bit = 2; Somewhat = 3; Quite a bit = 4; Very much = 5; NA = 6,966,1.17,5,1,5,4,,PROMISDYSCB001,"In the past 7 days, I have been short of breath",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,14,109,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL08R,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GLOBAL08R,ASK ALL,numeric,"In the past 7 days, how would you rate your fatigue on average?",Not answered = -97; Multiple answers = -96; Question not asked = -95; None = 1; Mild = 2; Moderate = 3; Severe = 4; Very severe = 5; NA = 6,1054,1.28,5,1,5,4,,Q_GLOBAL08R,"In the past 7 days, how would you rate your fatigue on average?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,15,120,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PROMISPAIN,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PROMISPAIN,ASK ALL,numeric,"In the past 7 days, how much did pain interfere with your day to day activities?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Not at all = 1; A little bit = 2; Somewhat = 3; Quite a bit = 4; Very much = 5; NA = 6,1048,1.27,5,1,5,4,,Q_PROMISPAIN,"In the past 7 days, how much did pain interfere with your day to day activities?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,16,131,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL07R,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GLOBAL07R,ASK ALL,numeric,"In the past 7 days, how would you rate your pain on average?",Not answered = -97; Multiple answers = -96; Question not asked = -95; 0 - No pain = 0; 10 - Worst imaginable pain = 10,1237,1.5,11,0,10,8,,Q_GLOBAL07R,"In the past 7 days, how would you rate your pain on average?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,17,142,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_GLOBAL10R,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_GLOBAL10R,ASK ALL,numeric,"In the past 7 days, how often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Never = 1; Rarely = 2; Sometimes = 3; Often = 4; Always = 5; NA = 6,1807,2.2000000000000002,5,1,5,2,,Q_GLOBAL10R,"In the past 7 days, how often have you been bothered by emotional problems such as feeling anxious, depressed or irritable?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,18,150,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-QWHO5_A,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,QWHO5_A,ASK ALL,numeric,For the next few questions please think about how you have been feeling over the last two weeks: I have felt cheerful and in good spirits,Not answered = -97; Multiple answers = -96; Question not asked = -95; All of the time = 1; Most of the time = 2; More than half of the time = 3; Less than half of the time = 4; Some of the time = 5; At no time = 6; NA = 7,1341,1.63,6,1,6,2,,QWHO5_A,For the next few questions please think about how you have been feeling over the last two weeks: I have felt cheerful and in good spirits,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,19,162,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-QWHO5_B,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,QWHO5_B,ASK ALL,numeric,For the next few questions please think about how you have been feeling over the last two weeks: I have felt calm and relaxed,Not answered = -97; Multiple answers = -96; Question not asked = -95; All of the time = 1; Most of the time = 2; More than half of the time = 3; Less than half of the time = 4; Some of the time = 5; At no time = 6; NA = 7,1401,1.7,6,1,6,4,,QWHO5_B,For the next few questions please think about how you have been feeling over the last two weeks: I have felt calm and relaxed,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,20,173,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-QWHO5_C,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,QWHO5_C,ASK ALL,numeric,For the next few questions please think about how you have been feeling over the last two weeks: I have felt active and vigorous,Not answered = -97; Multiple answers = -96; Question not asked = -95; All of the time = 1; Most of the time = 2; More than half of the time = 3; Less than half of the time = 4; Some of the time = 5; At no time = 6; NA = 7,1470,1.79,6,1,6,4,,QWHO5_C,For the next few questions please think about how you have been feeling over the last two weeks: I have felt active and vigorous,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,21,184,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-QWHO5_D,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,QWHO5_D,ASK ALL,numeric,For the next few questions please think about how you have been feeling over the last two weeks: My daily life has been filled with things that interest me,Not answered = -97; Multiple answers = -96; Question not asked = -95; All of the time = 1; Most of the time = 2; More than half of the time = 3; Less than half of the time = 4; Some of the time = 5; At no time = 6; NA = 7,1726,2.1,6,1,6,2,,QWHO5_D,For the next few questions please think about how you have been feeling over the last two weeks: My daily life has been filled with things that interest me,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,22,195,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-QWHO5_E,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,QWHO5_E,ASK ALL,numeric,For the next few questions please think about how you have been feeling over the last two weeks: I woke up feeling fresh and rested,Not answered = -97; Multiple answers = -96; Question not asked = -95; All of the time = 1; Most of the time = 2; More than half of the time = 3; Less than half of the time = 4; Some of the time = 5; At no time = 6; NA = 7,1665,2.02,6,1,6,4,,QWHO5_E,For the next few questions please think about how you have been feeling over the last two weeks: I woke up feeling fresh and rested,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,23,206,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EXERCISE,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EXERCISE,ASK ALL,numeric,"In the past week, on how many days did you do at least 30 minutes of either vigorous or moderate activity - such as running, swimming, riding a bike, brisk walking, or dancing - Vigorous physical activities typically make you breathe much harder than normal, whereas moderate activities make you breathe somewhat harder than normal.",Not answered = -97; Multiple answers = -96; Question not asked = -95; Every day = 1; 5 to 6 days = 2; 3 to 4 days = 3; 1 to 2 days = 4; I did not do any vigorous or moderate activity in the past week = 5; Not sure = 6; NA = 7,1789,2.17,6,1,6,5,,Q_EXERCISE,"In the past week, on how many days did you do at least 30 minutes of either vigorous or moderate activity (such as running, swimming, riding a bike, brisk walking, or dancing)? Vigorous physical activities typically make you breathe much harder than normal, whereas moderate activities make you breathe somewhat harder than normal.",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,24,218,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_ADVPHYSACT,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_ADVPHYSACT,ASK ALL,numeric,"In the past 12 months, has any health care professional talked with you about your physical activity?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,1793,2.1800000000000002,3,1,3,1,,Q_ADVPHYSACT,"In the past 12 months, has any health care professional talked with you about your physical activity?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,25,231,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EHISFR,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EHISFR,ASK ALL,numeric,"How often do you eat fruit, excluding juice squeezed from fresh fruit or madefrom concentrate?",Not answered = -97; Multiple answers = -96; Question not asked = -95; More than once a day = 1; Once a day = 2; 4 to 6 days a week = 3; 1 to 3 days a week = 4; Less than once a week = 5; Never = 6; NA = 7,1770,2.15,6,1,6,5,,Q_EHISFR,"How often do you eat fruit, excluding juice squeezed from fresh fruit or madefrom concentrate?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,26,240,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EHISVG,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EHISVG,ASK ALL,numeric,"How often do you eat vegetables or salad, excluding potatoes and fresh juice or juice made from concentrate?",Not answered = -97; Multiple answers = -96; Question not asked = -95; More than once a day = 1; Once a day = 2; 4 to 6 days a week = 3; 1 to 3 days a week = 4; Less than once a week = 5; Never = 6; NA = 7,1793,2.1800000000000002,6,1,6,2,,Q_EHISVG,"How often do you eat vegetables or salad, excluding potatoes and fresh juice or juice made from concentrate?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,27,252,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_ADVDIET,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_ADVDIET,ASK ALL,numeric,"In the past 12 months, has any health care professional talked with you about healthy eating?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,1836,2.23,3,1,3,2,,Q_ADVDIET,"In the past 12 months, has any health care professional talked with you about healthy eating?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,28,264,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EHISSK01,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EHISSK01,ASK ALL,numeric,Do you smoke any tobacco products (excluding electronic cigarettes or similar electronic devices)?,"Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes, daily = 1; Yes, occasionally = 2; Not at all = 3; NA = 4",6140,7.46,3,1,3,3,All answers on Q_EHISSK01 in the US have been coded as missing to avoid identification,Q_EHISSK01,Do you smoke any tobacco products (excluding electronic cigarettes or similar electronic devices)?,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,29,273,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EHISSK04,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EHISSK04,ASK IF Q_EHISSK01 = 3,numeric,"Have you ever smoked tobacco products -excluding electronic cigarettes or similar electronic devices- daily, or almost daily, for at least one year",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; NA = 3,14143,17.190000000000001,2,1,2,2,,Q_EHISSK04,"Have you ever smoked tobacco products (excluding electronic cigarettes or similar electronic devices) daily, or almost daily, for at least one year?",Numeric,ASK IF Q_EHISSK01 = 3,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,30,283,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CWF2014IHP,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CWF2014IHP,ASK IF Q_EHISSK01 = 1 or 2 OR Q_EHISSK04=1,numeric,"In the past 12 months, has any health care professional talked with you about the health risks of smoking or using tobacco and ways to quit?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,49413,60.06,3,1,3,1,,Q_CWF2014IHP,"In the past 12 months, has any health care professional talked with you about the health risks of smoking or using tobacco and ways to quit?",Numeric,ASK IF Q_EHISSK01 = 1 or 2 OR Q_EHISSK04=1,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,31,291,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_EHIS,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_EHIS,ASK ALL,numeric,"In the past 12 months, how often have you had an alcoholic drink of any kind -beer, wine, cider, spirits, cocktails, premixes, liquor, homemade alcohol","Not answered = -97; Multiple answers = -96; Question not asked = -95; Every day or almost = 1; 5-6 days a week = 2; 3-4 days a week = 3; 1-2 days a week = 4; 2-3 days in a month = 5; Once a month = 6; Less than once a month = 7; Not in the past 12 months, as I no longer drink alcohol = 8; Never, or only a few sips or tries, in my whole life = 9; NA = 10; 5 or more days a week (USA) = 11; 1-4 days a week (USA) = 12; 1-3 days a month (USA) = 13",2557,3.11,12,1,13,5,"US coding has been added as codes 11, 12 and 13",Q_EHIS,"In the past 12 months, how often have you had an alcoholic drink of any kind (beer, wine, cider, spirits, cocktails, premixes, liquor, homemade alcohol …)?",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,32,300,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_CWF2017IHP,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_CWF2017IHP,ASK IF Q_EHIS = 1 TO 8,numeric,"In the past 12 months, has any health care professional talked with you about alcohol use?",Not answered = -97; Multiple answers = -96; Question not asked = -95; Yes = 1; No = 2; Not sure = 3; NA = 4,14171,17.22,3,1,3,2,,Q_CWF2017IHP,"In the past 12 months, has any health care professional talked with you about alcohol use?",Numeric,ASK IF Q_EHIS = 1 TO 8,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,33,318,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN1,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN1,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: I rely on health care professionals to tell me everything I need to know to manage my health,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2336,2.84,5,1,5,5,,Q_PN_PN1,Health care professionals that you usually see support your health and health care: I rely on health care professionals to tell me everything I need to know to manage my health,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,34,328,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN2,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN2,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: Most health issues are too complex for me to understand,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2545,3.09,5,1,5,1,,Q_PN_PN2,Health care professionals that you usually see support your health and health care: Most health issues are too complex for me to understand,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,35,338,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN3,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN3,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: I actively try to prevent diseases and illnesses,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2439,2.96,5,1,5,4,,Q_PN_PN3,Health care professionals that you usually see support your health and health care: I actively try to prevent diseases and illnesses,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,36,348,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN4,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN4,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: I leave it to health care professionals to make the right decisions about my health,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2415,2.94,5,1,5,4,,Q_PN_PN4,Health care professionals that you usually see support your health and health care: I leave it to health care professionals to make the right decisions about my health,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,37,358,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN5,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN5,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: It is important to me to be informed about health issues,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2382,2.9,5,1,5,4,,Q_PN_PN5,Health care professionals that you usually see support your health and health care: It is important to me to be informed about health issues,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,38,368,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN6,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN6,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: I need to know about health issues so I can keep myself and my family healthy,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2512,3.05,5,1,5,4,,Q_PN_PN6,Health care professionals that you usually see support your health and health care: I need to know about health issues so I can keep myself and my family healthy,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,39,378,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN7,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN7,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: I have difficulty understanding a lot of the health information that I read,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2797,3.4,5,1,5,2,,Q_PN_PN7,Health care professionals that you usually see support your health and health care: I have difficulty understanding a lot of the health information that I read,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,40,388,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN8,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN8,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: My health care professionals and I work together to manage my health,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2738,3.33,5,1,5,4,,Q_PN_PN8,Health care professionals that you usually see support your health and health care: My health care professionals and I work together to manage my health,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,41,398,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN9,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN9,ASK ALL,numeric,"Health care professionals that you usually see support your health and health care: When I read or hear something that is relevant to my health care, I bring it up with my health care professionals",Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,3022,3.67,5,1,5,4,,Q_PN_PN9,"Health care professionals that you usually see support your health and health care: When I read or hear something that is relevant to my health care, I bring it up with my health care professionals",Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,42,408,EXTRACTED_UNREVIEWED
SRC-PARIS-C1-Q_PN_PN10,PARIS-C1-PUF202605-CODEBOOK,PaRIS,1,Q_PN_PN10,ASK ALL,numeric,Health care professionals that you usually see support your health and health care: I try to understand my personal health risks,Not answered = -97; Multiple answers = -96; Question not asked = -95; Strongly disagree = 1; Disagree = 2; Neither agree nor disagree = 3; Agree = 4; Strongly agree = 5; NA = 6,2629,3.2,5,1,5,4,,Q_PN_PN10,Health care professionals that you usually see support your health and health care: I try to understand my personal health risks,Numeric,,MATCHED,paris-cycle1-puf-codebook-202605-v0.xlsx,PUF_DataDictionary,43,418,EXTRACTED_UNREVIEWED
