decision_id,date,scope,entity_id,question,decision,rationale,evidence,decided_by,status,supersedes
DEC-2026-011,2026-08-25,REVIEW,SEARCH_DATABASES,Which bibliographic sources form the planned core?,Use PubMed Scopus Embase APA PsycINFO and Web of Science Core Collection while distinguishing API manual and unavailable access,"The sources cover health methods multidisciplinary literature psychometrics and citation indexing without claiming access not demonstrated","research/scoping-review/api-audit.md",Codex,PROPOSED,
DEC-2026-012,2026-08-25,REVIEW,SEARCH_LINE_B,Should the broad comparability line be narrowed before screening?,Retain the sensitive version 0.2 until the blinded pilot and PRESS review are completed,"The line recovers all bibliographic seeds but is large and likely noisy; narrowing without empirical assessment could remove transferable methods","research/scoping-review/reports/pilot-summary.csv; research/scoping-review/search-strategy-audit.md",Codex,PROPOSED,
DEC-2026-013,2026-08-25,REVIEW,HISTORICAL_CORPUS,Can prior narrative-review decisions be reused as definitive WP1 decisions?,Use them only as pilot indicators and re-screen under WP1 eligibility,"The research question and inclusion criteria changed materially","research/scoping-review/search-strategy-audit.md",Codex,PROPOSED,
DEC-2026-014,2026-08-25,REVIEW,BIBLIOGRAPHIC_API_SCOPE,Should the project continue pursuing Embase and Web of Science API access?,Stop further API integration attempts and retain only manual execution routes if institutional web access exists,"Both APIs require institutional tokens that the library will not provide; further engineering cannot resolve an entitlement constraint","research/scoping-review/api-audit.md; investigator instruction 2026-08-25",JALR,APPROVED,
DEC-2026-015,2026-08-25,REVIEW,PSYCINFO_PLATFORM,Which platform must be used for APA PsycINFO?,Use EBSCOhost and preserve the Ovid translation only as a superseded draft,"The investigator confirmed the institutional platform while still locating access","research/scoping-review/api-audit.md; investigator instruction 2026-08-25",JALR,APPROVED,
DEC-2026-016,2026-08-28,REVIEW,WOS_API_REOPEN,Should Web of Science API access be reassessed?,Reopen API testing after provision of a new local credential but retain the manual route until authentication succeeds,"Minimal probes reached both Clarivate products but Starter and Expanded returned HTTP 401; no bibliographic search has therefore been executed","research/scoping-review/api-audit.md; investigator instruction 2026-08-28",JALR,APPROVED,
DEC-2026-017,2026-09-01,REVIEW,WOS_STARTER_ACCESS,Is Web of Science Starter API available for WP1?,Treat Starter access through the SERMAS credential as technically available but defer search execution until the research question and strategies are frozen,"An authenticated DOI query returned HTTP 200 with one matching record; access does not by itself validate the current strategy","research/scoping-review/api-audit.md; investigator verification 2026-09-01",JALR,APPROVED,DEC-2026-016
DEC-2026-018,2026-09-01,REVIEW,SECOND_REVIEWER,Who will perform the second independent review?,Assign Alicia Serrano Vedruna as reviewer R2 and authorize her email through the private Cloudflare Access allowlist,"Named second-reviewer responsibility is required before piloting and blinded screening","cloudflare/README.md; investigator instruction 2026-09-01",JALR,APPROVED,
DEC-2026-019,2026-09-01,REVIEW,WP1_QUESTION_REVISION,May the existing searches be treated as the definitive WP1 execution?,No; retain completed v0.2 runs as methodological evidence while the research question and resulting search strategy are redefined,"The search must follow a frozen question and prospectively approved protocol; the current broad line B is not yet suitable for definitive screening","research/scoping-review/protocol.md; documentation/planning/next-steps.md; investigator instruction 2026-09-01",JALR,APPROVED,
DEC-2026-020,2026-09-01,DISSEMINATION,WEBSITE_PROGRAMME_ARCHITECTURE,How should the public website represent the revised project scope?,Represent an international construct-first research programme through interdependent work packages and place the reference catalogue within WP1A,"The website must separate conceptual priority Target DataSchema survey adapters validation and analytical use while distinguishing the initial PaRIS-EHIS demonstrator from future expansion","website/index.html; website/programa.html; website/data/work-packages.json; investigator instruction 2026-09-01",JALR,APPROVED,
DEC-2026-021,2026-09-01,REVIEW,WP1_EVIDENCE_STREAMS,How should the evidence review be reorganised?,Separate WP1A methodological evidence from WP1B construct evidence and retain WP1B-FUTURE as an identifiable substream,"How to harmonise and what to harmonise answer different scientific questions and produce different outputs","research/scoping-review/evidence-streams.md; investigator instruction 2026-09-01",JALR,APPROVED,
DEC-2026-022,2026-09-01,REVIEW,HISTORICAL_SEARCH_IDS,Should historical search identifiers be renamed in prior outputs?,No; preserve original identifiers and add versioned aliases and stream tags,"Retrospective renaming would break provenance and reproducibility","research/scoping-review/strategies/search-id-crosswalk.csv; investigator instruction 2026-09-01",JALR,APPROVED,
DEC-2026-023,2026-09-01,REVIEW,WP1A_V2_EXPANSION,Should the expanded WP1A v2 strategy be executed across databases?,No; retain as REQUIRES_REVIEW pending human sample assessment sentinel validation and PRESS,"The WoS count pilot returned 55493 records and indicates a material reduction in precision","research/scoping-review/reports/restructure-and-validation.md",Codex,PROPOSED,
